,LTs,NCs,DSs,sum
JBHF1,0,0.244039463,16.90043664,17.1444761
JBHF2,0,0.081259313,24.52100931,24.60226862
JBHF3,0,0.121251562,11.26131498,11.38256654
JBHF4,0,0.145666336,8.30282043,8.448486766
JBHF5,0,0.211533211,1.69301598,1.904549191
JBHF6,0,0.234084336,2.60737071,2.841455046
JBHF7,0,0.218457679,1.90621056,2.124668239
JBHS1,0.029462246,0.053044742,24.97226685,25.05477384
JBHS2,0.027914228,0.21321769,63.28197274,63.52310466
JBHS3,0.030771109,0.158632635,51.772257,51.96166075
JBHS4,0.030193741,0.179002326,58.695,58.90419607
JBHS5,0.033927495,0.184180741,58.695,58.91310824
JBHS6,0.038567912,0.188822305,58.695,58.92239022
JBHS7,0.036738508,0.191851179,58.695,58.92358969
JBLF1,2.835855492,0.101467603,0.558243,3.495566095
JBLF2,3.750284261,0.152153806,0.266091,4.168529067
JBLF3,2.617348653,0.12884604,0.539133,3.285327693
JBLF4,2.889869964,0.153218822,0.539133,3.582221786
JBLF5,2.204725076,0.143736067,0.539133,2.887594143
JBLF6,2.087109717,0.159915061,0.539133,2.786157778
JBLF7,1.98228968,0.173021164,0.539133,2.694443844
JBLS1,0.027614179,0.038712992,0.64323,0.709557171
JBLS2,0.010537055,0.06218838,0.441987,0.514712435
JBLS3,0.034693035,0.048559961,0.737247,0.820499996
JBLS4,0.034002118,0.050916885,0.737247,0.822166003
JBLS5,0.046694248,0.057616058,0.737247,0.841557306
JBLS6,0.040424763,0.06216577,0.737247,0.839837533
JBLS7,0.037729846,0.064494999,0.737247,0.839471845
TAHF1,0,0.006631954,30.81092112,30.81755307
TAHF2,0,0.076217825,38.17182477,38.2480426
TAHF3,0,-0.048629549,38.90592702,38.85729747
TAHF4,0,0.173140629,23.3992962,23.57243683
TAHF5,0.015179597,0.250224745,18.17230164,18.43770598
TAHF6,0,0.213478537,20.36869002,20.58216856
TAHF7,0.065548687,0.17867162,19.94459673,20.18881704
TAHS1,0.00646492,0.091220334,14.85334488,14.95103013
TAHS2,0.021934053,0.188764347,34.7811985,34.9918969
TAHS3,0.006625017,0.147045851,27.02046213,27.174133
TAHS4,0.006756355,0.157516126,38.33394869,38.49822117
TAHS5,0.014965233,0.18839466,55.21083615,55.41419604
TAHS6,0.006600446,0.200749855,54.00174016,54.20909046
TAHS7,0.029828718,0.220037271,58.890993,59.14085899
TALF1,0.502865063,0.087337281,3.611780283,4.201982627
TALF2,0.705343406,0.158465307,1.164762792,2.028571505
TALF3,0.631656708,0.080724629,6.019503732,6.731885069
TALF4,0.679124618,0.121301505,3.583597944,4.384024067
TALF5,0.931596464,0.135542928,3.498748377,4.565887769
TALF6,0.829863994,0.143323115,5.222016231,6.19520334
TALF7,0.899068174,0.158272049,2.181471456,3.238811679
TALS1,0.010307679,0.032074207,0.634137,0.676518886
TALS2,0.01789485,0.066745227,0.834603,0.919243077
TALS3,0.017173588,0.050080417,0.76881,0.836064005
TALS4,0.009932242,0.042083597,0.207334922,0.259350761
TALS5,0.014513106,0.05417805,1.023057,1.091748156
TALS6,0.01310572,0.059288758,1.003863,1.076257478
TALS7,0.017472039,0.057286633,0.87024,0.944998672
WCHF1,0.137578427,0.894132444,20.98705762,22.01876849
WCHF2,0.10744564,0.353601692,21.68766768,22.14871501
WCHF3,0.075982627,0.372474301,0.072554519,0.521011447
WCHF4,0.012260985,0.436826678,0.206396369,0.655484032
WCHF5,0.029595627,0.424695541,20.92883755,21.38312872
WCHF6,0.057827208,0.412643338,21.45721473,21.92768527
WCHF7,0.078278993,0.40492837,0.087361174,0.570568537
WCHS1,0.061706619,0.281088158,0.726714606,1.069509383
WCHS2,0,0.115464941,21.15947487,21.27493982
WCHS3,0,0.118147815,21.65429376,21.77244157
WCHS4,0,0.124628659,0.073244408,0.197873067
WCHS5,0,0.111930153,0.627693666,0.739623819
WCHS6,0,0.107845222,20.2507239,20.35856912
WCHS7,0,0.104935832,19.86013133,19.96506716
WCLF1,0.032083485,0.097863421,0.29295,0.422896906
WCLF2,0.02451771,0.036633763,0.5047,0.565851473
WCLF3,0.01064246,0.047780465,21.0175,21.07592293
WCLF4,0.021550362,0.04362552,20.6815,20.74667588
WCLF5,0.017834336,0.064385735,0.29295,0.375170071
WCLF6,0.028437764,0.063077464,0.5047,0.596215228
WCLF7,0.017738474,0.070318875,21.00924669,21.09730404
WCLS1,0.00214018,0.053477511,20.6815,20.73711769
WCLS2,0,0.018617288,0.150147364,0.168764652
WCLS3,0,0.019835492,0.417535739,0.437371231
WCLS4,0,0.018463184,20.92842791,20.94689109
WCLS5,0,0.021965965,20.59430699,20.61627296
WCLS6,0,0.024416266,0.164504946,0.188921212
WCLS7,0,0.022302477,0.35950023,0.381802707
WIHF1,0,0.528978576,19.5718826,20.10086117
WIHF2,0,0.530417432,19.04271276,19.57313019
WIHF3,0,0.534711163,1.173158614,1.707869777
WIHF4,0,0.522229832,0.81460982,1.336839652
WIHF5,0,0.574754897,19.64984798,20.22460288
WIHF6,0.020690796,0.576661627,19.3622051,19.95955752
WIHF7,0.022283353,0.626651789,0.934991504,1.583926646
WIHS1,0,0.168063476,0.853217621,1.021281097
WIHS2,0,0.149202873,19.74643518,19.89563806
WIHS3,0,0.146226183,19.54449631,19.69072249
WIHS4,0,0.159264038,0.656211595,0.815475633
WIHS5,0,0.16050579,0.321922404,0.482428194
WIHS6,0,0.164476489,20.85138796,21.01586445
WIHS7,0,0.165994132,19.88765375,20.05364788
WILF1,0.026248424,0.03404039,0.466611921,0.526900735
WILF2,0,0.072663735,0.482065401,0.554729136
WILF3,0.015152914,0.061530173,21.65529621,21.7319793
WILF4,0.034147824,0.072066876,20.66510294,20.77131764
WILF5,0.04787021,0.080508502,0.447093463,0.575472175
WILF6,0.042070842,0.092029519,0.571237376,0.705337737
WILF7,0.054874023,0.101037047,21.69519129,21.85110236
WILS1,0.000460764,0.015942233,20.61562647,20.63202947
WILS2,0.000299279,0.019263693,0.453619198,0.47318217
WILS3,0,0.021156516,0.52330442,0.544460936
WILS4,0.000119946,0.024029119,21.67909066,21.70323973
WILS5,0.000453805,0.027178513,20.65482475,20.68245707
WILS6,0.001856547,0.026619172,0.472065716,0.500541435
WILS7,0.001858165,0.031384148,0.58625,0.619492313
WMHF1,0,0.59705067,19.66830738,20.26535805
WMHF2,0,0.565969051,20.34661335,20.9125824
WMHF3,0,0.551284715,0.84432907,1.395613785
WMHF4,0,0.508647405,0.883487829,1.392135234
WMHF5,0,0.569661126,19.7629777,20.33263883
WMHF6,0.030345588,0.536255622,20.42102457,20.98762578
WMHF7,0,0.554421082,0.648994172,1.203415254
WMHS1,0,0.199952119,0.869267054,1.069219173
WMHS2,0,0.177111149,19.88065597,20.05776712
WMHS3,0,0.165128069,20.47394198,20.63907005
WMHS4,0,0.161992579,0.551785748,0.713778327
WMHS5,0,0.165800111,0.432073144,0.597873255
WMHS6,0,0.162569271,19.93337555,20.09594482
WMHS7,0,0.171828109,19.7464751,19.91830321
WMLF1,0,0.174687667,0.068697907,0.243385574
WMLF2,0.002440619,0.128843191,0.273251862,0.404535672
WMLF3,0,0.133803896,20.76484769,20.89865159
WMLF4,0.040393862,0.071775097,20.56447278,20.67664174
WMLF5,0.03831549,0.103381916,0.144536021,0.286233427
WMLF6,0.051099263,0.108862473,0.410801242,0.570762978
WMLF7,0.01953798,0.136030722,20.83991468,20.99548338
WMLS1,0,0.037917038,20.55294756,20.5908646
WMLS2,0,0.035543483,0.161963529,0.197507012
WMLS3,0,0.03417377,0.360843121,0.395016891
WMLS4,0,0.029546321,20.86564944,20.89519576
WMLS5,0,0.038741697,20.51626864,20.55501034
WMLS6,0.000784986,0.033655325,0.135114916,0.169555227
WMLS7,0.007664338,0.034594703,0.496709636,0.538968677
PCHF1,0,0.591320755,19.75911158,20.35043233
PCHF2,0,0.554179566,20.44645913,21.0006387
PCHF3,0,0.513010291,0.820248367,1.333258658
PCHF4,0,0.630771654,0.955894937,1.586666591
PCHF5,0,0.656516231,19.78513732,20.44165355
PCHF6,0,0.621194828,20.31545408,20.93664891
PCHF7,0,0.651768278,0.718498612,1.37026689
PCHS1,0,0.19351214,0.860634241,1.054146381
PCHS2,0,0.132600227,19.87138318,20.0039834
PCHS3,0,0.169432106,20.48737266,20.65680477
PCHS4,0,0.186432475,0.606062337,0.792494812
PCHS5,0,0.182778294,0.573129542,0.755907836
PCHS6,0,0.181731773,20.13879197,20.32052375
PCHS7,0,0.182427664,20.76118165,20.94360932
PCLF1,0.007379387,0.06727199,0.556847115,0.631498492
PCLF2,0.003165841,0.071446172,0.416451818,0.491063831
PCLF3,0.005269229,0.06692928,21.09338059,21.1655791
PCLF4,0,0.0974407,21.63807883,21.73551953
PCLF5,0.00357652,0.118071748,0.532809721,0.654457989
PCLF6,0.003572477,0.110072848,0.403284081,0.516929406
PCLF7,0.007049521,0.130651803,21.02421731,21.16191864
PCLS1,0,0.021107085,21.7630235,21.78413058
PCLS2,0,0.021143362,0.57008513,0.591228492
PCLS3,0,0.019304864,0.479435404,0.498740268
PCLS4,0,0.025080019,21.14316325,21.16824327
PCLS5,0.001764958,0.032528553,21.79813755,21.83243106
PCLS6,0,0.030656834,0.599170785,0.629827619
PCLS7,0,0.033406396,0.483127822,0.516534218
PIHF1,0,0.532553029,19.5334725,20.06602553
PIHF2,0,0.533556338,19.18957069,19.72312703
PIHF3,0,0.522164972,1.182502233,1.704667205
PIHF4,0,0.539990723,0.871752538,1.411743261
PIHF5,0,0.549659892,20.30944156,20.85910146
PIHF6,0,0.556893274,19.26267987,19.81957314
PIHF7,0.004593519,0.56509589,0.899344006,1.469033415
PIHS1,0,0.173569258,0.805638349,0.979207607
PIHS2,0,0.166728851,20.50953451,20.67626336
PIHS3,0,0.159904731,19.52242638,19.68233111
PIHS4,0,0.155914423,0.590102804,0.746017227
PIHS5,0,0.15598792,0.387166309,0.543154229
PIHS6,0,0.159579475,20.71754694,20.87712641
PIHS7,0,0.164421453,19.78238867,19.94681012
PILF1,0.015066606,0.051678887,0.420568523,0.487314016
PILF2,0.001246486,0.076916616,0.426389523,0.504552625
PILF3,0.035688036,0.048633287,21.66964691,21.75396823
PILF4,0.016882207,0.07360472,20.5649727,20.65545963
PILF5,0.019200783,0.077212651,0.336944856,0.43335829
PILF6,0.061315687,0.058482516,0.573033997,0.6928322
PILF7,0.043569856,0.076003605,21.62778889,21.74736235
PILS1,0.001335229,0.018487082,20.60698853,20.62681084
PILS2,0,0.019139041,0.426962856,0.446101897
PILS3,0.001236847,0.019317924,0.538773299,0.55932807
PILS4,0.001064794,0.020306598,21.6710203,21.69239169
PILS5,0.000608922,0.022332566,20.63057305,20.65351454
PILS6,0.00126358,0.023393651,0.427298311,0.451955542
PILS7,0.000862525,0.0268913,0.553718315,0.58147214
PMHF1,0,0.542102716,19.44451031,19.98661303
PMHF2,0,0.552531215,19.08906847,19.64159969
PMHF3,0,0.552422696,1.328486465,1.880909161
PMHF4,0,0.578769116,1.062772793,1.641541909
PMHF5,0,0.564336403,19.49689144,20.06122784
PMHF6,0,0.559134679,19.08827655,19.64741123
PMHF7,0,0.623036547,1.185671212,1.808707759
PMHS1,0,0.169208375,0.955683615,1.12489199
PMHS2,0,0.168659367,19.6302623,19.79892166
PMHS3,0,0.183890836,19.39849716,19.582388
PMHS4,0,0.174105315,1.051563149,1.225668464
PMHS5,0,0.173513034,0.590276539,0.763789573
PMHS6,0,0.166389487,19.89933923,20.06572871
PMHS7,0,0.166204197,19.704595,19.8707992
PMLF1,0.003732559,0.080672335,0.037694947,0.122099841
PMLF2,0.01477166,0.07005744,0.25178725,0.33661635
PMLF3,0,0.107986033,20.73528402,20.84327005
PMLF4,0.013010496,0.086865826,20.42623391,20.52611023
PMLF5,0.000459184,0.124013139,0.043849243,0.168321566
PMLF6,0.028052181,0.1070305,0.279537154,0.414619835
PMLF7,0,0.145004721,20.77370642,20.91871114
PMLS1,0,0.021659124,20.51370492,20.53536404
PMLS2,0,0.023085462,0.104934733,0.128020195
PMLS3,0,0.028541054,0.310167607,0.338708661
PMLS4,0,0.025439101,20.82061984,20.84605894
PMLS5,0,0.03436509,20.56656054,20.60092563
PMLS6,0,0.032381056,0.113471338,0.145852394
PMLS7,0,0.038393735,0.389846796,0.428240531
